,Time,Time_Elapsed,Disk_Precentage
137,14:15:48,13.768709659576416,54.4
138,14:15:48,13.86898684501648,54.4
139,14:15:48,13.969348907470703,54.4
140,14:15:48,14.070177555084229,54.4
141,14:15:48,14.170623779296875,54.4
142,14:15:48,14.271073579788208,54.4
143,14:15:48,14.371506690979004,54.4
144,14:15:48,14.472086906433105,54.4
145,14:15:48,14.572458267211914,54.4
146,14:15:49,14.672834634780884,54.4
147,14:15:49,14.773156642913818,54.4
148,14:15:49,14.873635292053223,54.4
149,14:15:49,14.974151134490967,54.4
150,14:15:49,15.074896097183228,54.4
151,14:15:49,15.175359725952148,54.4
152,14:15:49,15.275623321533203,54.4
153,14:15:49,15.376213788986206,54.4
154,14:15:49,15.476943254470825,54.4
155,14:15:49,15.57773232460022,54.4
156,14:15:50,15.678115367889404,54.4
