timeProcessed,filename,score,detect
16-06-2024_22:02:50,./image/16-06-2024_22:02:49.jpg,0,0
16-06-2024_22:02:52,./image/16-06-2024_22:02:51.jpg,0.5953831672668457,1
16-06-2024_22:02:57,./image/16-06-2024_22:02:55.jpg,0,0
16-06-2024_22:02:58,./image/16-06-2024_22:02:57.jpg,0,0
16-06-2024_22:03:02,./image/16-06-2024_22:03:02.jpg,0,0
16-06-2024_22:03:04,./image/16-06-2024_22:03:03.jpg,0.7286159694194794,2
16-06-2024_22:03:08,./image/16-06-2024_22:03:08.jpg,0,0
16-06-2024_22:03:10,./image/16-06-2024_22:03:09.jpg,0.9017654061317444,1
16-06-2024_22:03:14,./image/16-06-2024_22:03:14.jpg,0,0
16-06-2024_22:03:16,./image/16-06-2024_22:03:15.jpg,0,0
16-06-2024_22:03:21,./image/16-06-2024_22:03:20.jpg,0,0
16-06-2024_22:03:22,./image/16-06-2024_22:03:21.jpg,0.8994460701942444,1
16-06-2024_22:03:27,./image/16-06-2024_22:03:26.jpg,0,0
16-06-2024_22:03:28,./image/16-06-2024_22:03:27.jpg,0,0
16-06-2024_22:03:33,./image/16-06-2024_22:03:32.jpg,0,0
16-06-2024_22:03:34,./image/16-06-2024_22:03:34.jpg,0.8979549407958984,1
16-06-2024_22:03:39,./image/16-06-2024_22:03:38.jpg,0,0
16-06-2024_22:03:40,./image/16-06-2024_22:03:40.jpg,0,0
16-06-2024_22:03:45,./image/16-06-2024_22:03:44.jpg,0,0
16-06-2024_22:03:46,./image/16-06-2024_22:03:46.jpg,0,0
16-06-2024_22:03:51,./image/16-06-2024_22:03:50.jpg,0,0
16-06-2024_22:03:53,./image/16-06-2024_22:03:52.jpg,0,0
16-06-2024_22:03:57,./image/16-06-2024_22:03:56.jpg,0,0
16-06-2024_22:03:59,./image/16-06-2024_22:03:58.jpg,0,0
16-06-2024_22:04:03,./image/16-06-2024_22:04:02.jpg,0,0
16-06-2024_22:04:05,./image/16-06-2024_22:04:04.jpg,0,0
16-06-2024_22:04:09,./image/16-06-2024_22:04:08.jpg,0,0
16-06-2024_22:04:11,./image/16-06-2024_22:04:10.jpg,0,0
16-06-2024_22:04:15,./image/16-06-2024_22:04:15.jpg,0,0
16-06-2024_22:04:23,./image/16-06-2024_22:04:22.jpg,0,0
16-06-2024_22:04:27,./image/16-06-2024_22:04:27.jpg,0,0
16-06-2024_22:04:33,./image/16-06-2024_22:04:33.jpg,0,0
16-06-2024_22:04:35,./image/16-06-2024_22:04:34.jpg,0,0
16-06-2024_22:04:40,./image/16-06-2024_22:04:39.jpg,0,0
16-06-2024_22:04:47,./image/16-06-2024_22:04:46.jpg,0,0
16-06-2024_22:04:52,./image/16-06-2024_22:04:51.jpg,0,0
16-06-2024_22:04:53,./image/16-06-2024_22:04:52.jpg,0,0
16-06-2024_22:04:58,./image/16-06-2024_22:04:57.jpg,0,0
16-06-2024_22:04:59,./image/16-06-2024_22:04:58.jpg,0.8970214128494263,1
16-06-2024_22:05:04,./image/16-06-2024_22:05:03.jpg,0,0
16-06-2024_22:05:05,./image/16-06-2024_22:05:05.jpg,0,0
16-06-2024_22:05:10,./image/16-06-2024_22:05:09.jpg,0,0
16-06-2024_22:05:11,./image/16-06-2024_22:05:11.jpg,0,0
16-06-2024_22:05:16,./image/16-06-2024_22:05:15.jpg,0,0
16-06-2024_22:05:17,./image/16-06-2024_22:05:17.jpg,0,0
16-06-2024_22:05:22,./image/16-06-2024_22:05:21.jpg,0,0
16-06-2024_22:05:24,./image/16-06-2024_22:05:23.jpg,0.7858536541461945,2
16-06-2024_22:05:28,./image/16-06-2024_22:05:27.jpg,0.8168431520462036,1
16-06-2024_22:05:30,./image/16-06-2024_22:05:29.jpg,0.48435938358306885,1
16-06-2024_22:05:34,./image/16-06-2024_22:05:34.jpg,0,0
16-06-2024_22:05:36,./image/16-06-2024_22:05:35.jpg,0.9385412335395813,1
16-06-2024_22:05:40,./image/16-06-2024_22:05:40.jpg,0.7736874222755432,1
16-06-2024_22:05:42,./image/16-06-2024_22:05:41.jpg,0,0
16-06-2024_22:05:47,./image/16-06-2024_22:05:46.jpg,0,0
16-06-2024_22:05:48,./image/16-06-2024_22:05:47.jpg,0,0
16-06-2024_22:05:53,./image/16-06-2024_22:05:52.jpg,0,0
